掃 掃
挿 插
掻 搔
操 操
早 早
曹 曹
巣 巢
槍 槍
槽 槽
漕 漕
燥 燥
争 爭
痩 瘦
相 相
窓 窗
糟 糟
総 總
綜 綜
聡 聰
草 草
荘 莊
葬 葬
蒼 蒼
藻 藻
装 裝
走 走
送 送
遭 遭
鎗 鎗
霜 霜
騒 騷
像 像
増 增
憎 憎
臓 臟
蔵 藏
贈 贈
造 造
促 促
側 側
則 則
即 即
息 息
捉 捉
束 束
測 測
足 足
速 速
俗 俗
属 屬
賊 賊
族 族
続 續
卒 卒
袖 袖
其 其
揃 揃
存 存
孫 孫
尊 尊
損 損
村 村
遜 遜
他 他
多 多
太 太
汰 汰
詑 詑
唾 唾
堕 墮
妥 妥
惰 惰
打 打
柁 柁
舵 舵
楕 楕
陀 陀
駄 駄
騨 驒
体 體
堆 堆
対 對
耐 耐
岱 岱
帯 帶
待 待
怠 怠
態 態
戴 戴
替 替
泰 泰
滞 滯
胎 胎
腿 腿
苔 苔
袋 袋
貸 貨
退 退
逮 逮
隊 隊
黛 黛
鯛 鯛
代 代
台 台
大 大
第 第
醍 醍
題 題
鷹 鷹
滝 瀧
瀧 瀧
卓 卓
啄 啄
宅 宅
托 托
択 擇
拓 拓
沢 澤
濯 濯
琢 琢
託 託
鐸 鐸
濁 濁
諾 諾
茸 茸
凧 凧
蛸 蛸
只 只
叩 叩
但 但
達 達
辰 辰
奪 奪
脱 脫
巽 巽
竪 竪
辿 辿
棚 棚
谷 谷
狸 狸
鱈 鱈
樽 樽
誰 誰
丹 丹
単 單
嘆 嘆
坦 坦
担 擔
探 探
旦 旦
歎 歎
淡 淡
湛 湛
炭 炭
短 短
端 端
箪 簞
綻 綻
耽 耽
胆 膽
蛋 蛋
誕 誕
鍛 鍛
団 團
壇 壇
弾 彈
断 斷
暖 暖
檀 檀
段 段
男 男
談 談
値 值
知 知
地 地
弛 弛
恥 恥
智 智
池 池
痴 痴
稚 稚
置 置
致 致
蜘 蜘
遅 遲
馳 馳
築 築
畜 畜
竹 竹
筑 築
蓄 蓄
逐 逐
秩 秩
窒 窒
茶 茶
嫡 嫡
着 著
中 中
仲 仲
宙 宙
忠 忠
抽 抽
昼 晝
柱 柱
注 注
虫 蟲
衷 衷
註 註
酎 酎
鋳 鑄
駐 駐
樗 樗
瀦 瀦
猪 豬
苧 濘
著 著
貯 貯
丁 丁
兆 兆
凋 凋
喋 喋
寵 寵
帖 帖
帳 帳
庁 廳
弔 弔
張 張
彫 雕
徴 徵
懲 懲
挑 挑
暢 暢
朝 朝
潮 潮
牒 牒
町 町
眺 眺
聴 聽
脹 脹
腸 腸
蝶 蝶
調 調
諜 諜
超 超
跳 跳
銚 銚
長 長
頂 頂
鳥 鳥
勅 敕
捗 捗
直 直
朕 朕
沈 沈
珍 珍
賃 賃
鎮 鎮
陳 陳
津 津
墜 墜
椎 椎
槌 槌
追 追
鎚 鎚
痛 痛
通 通
塚 塚
栂 栂
掴 摑
槻 槻
佃 佃
漬 漬
柘 柘
辻 辻
蔦 蔦
綴 綴
鍔 鍔
椿 椿
潰 潰
坪 坪
壷 壺
嬬 嬬
紬 紬
爪 爪
吊 吊
釣 釣
鶴 鶴
亭 亭
低 低
停 停
偵 偵
剃 剃
貞 貞
呈 呈
堤 堤
定 定
帝 帝
底 底
庭 庭
廷 廷
弟 弟
悌 悌
抵 抵
挺 挺
提 提
梯 梯
汀 汀
碇 碇
禎 禎
程 程
締 締
艇 艇
訂 訂
諦 諦
蹄 蹄
逓 遞
邸 邸
鄭 鄭
釘 釘
鼎 鼎
泥 泥
摘 摘
擢 擢
敵 敵
滴 滴
的 的
笛 笛
適 適
鏑 鏑
溺 溺
哲 哲
徹 徹
撤 撤
轍 轍
迭 迭
鉄 鐵
典 典
填 填
天 天
展 展
店 店
添 添
纏 纏
甜 甜
貼 貼
転 轉
顛 顛
点 點
伝 傳
殿 殿
澱 澱
田 田
電 電
兎 兔
吐 吐
堵 堵
塗 塗
妬 妬
屠 屠
徒 徒
斗 斗
杜 杜
渡 渡
登 登
菟 菟
賭 賭
途 途
都 都
鍍 鍍
砥 砥
砺 礪
努 努
度 度
土 土
奴 奴
怒 怒
倒 倒
党 黨
冬 冬
凍 凍
刀 刀
唐 唐
塔 塔
塘 塘
套 套
宕 宕
島 島
嶋 嶋
悼 悼
投 投
搭 搭
東 東
桃 桃
梼 檮
棟 棟
盗 盜
淘 淘
湯 湯
涛 濤
灯 燈
燈 燈
当 當
痘 痘
祷 禱
等 等
答 答
筒 筒
糖 糖
統 統
到 到
董 董
蕩 蕩
藤 藤
討 討
謄 謄
豆 豆
踏 踏
逃 逃
透 透
鐙 鐙
陶 陶
頭 頭
騰 騰
闘 鬪 鬥 
働 働
動 動
同 同
堂 堂
導 導
憧 憧
撞 撞
洞 洞
瞳 瞳
童 童
胴 胴
萄 萄
道 道
銅 銅
峠 峠
鴇 鴇
匿 匿
得 得
徳 德
涜 瀆
特 特
督 督
禿 禿
篤 篤
毒 毒
独 獨
読 讀
栃 櫔
橡 橡
凸 凸
突 突
椴 椴
届 屆
鳶 鳶
苫 苫
寅 寅
酉 酉
瀞 瀞
噸 噸
屯 屯
惇 惇
敦 敦
沌 沌
豚 豚
遁 遁
頓 頓
呑 吞
曇 曇
鈍 鈍
奈 奈
那 那
内 內
乍 乍
凪 凪
薙 薙
謎 謎
灘 灘
捺 捺
鍋 鍋
楢 湭
馴 馴
縄 繩
畷 畷
南 南
楠 楠
軟 軟
難 難
汝 汝
二 二
尼 尼
弐 貮
迩 邇
匂 匂
賑 賑
肉 肉
虹 虹
廿 廿
日 日
乳 乳
入 入
如 如
尿 尿
韮 韮
任 任
妊 妊
忍 忍
認 認
濡 濡
禰 禰
祢 禰
寧 寧
葱 葱
猫 貓
熱 熱
年 年
念 念
捻 捻
撚 撚
燃 燃
粘 粘
乃 乃
廼 迺
之 之
埜 埜
嚢 囊
悩 惱
濃 濃
納 納
能 能
脳 腦
膿 膿
農 農
覗 覗
蚤 蚤
巴 巴
把 把
播 播
覇 霸
杷 杷
波 波
派 派
琶 琶
破 破
婆 婆
罵 罵
芭 芭
馬 馬
俳 俳
廃 廢
拝 拜
排 排
敗 敗
杯 杯
盃 盃
牌 牌
背 背
肺 肺
輩 輩
配 配
倍 倍
培 培
媒 媒
梅 梅
楳 楳
煤 煤
狽 狽
買 買
売 賣
賠 賠
陪 陪
這 這
蝿 蠅
秤 秤
矧 矧
萩 萩
伯 伯
剥 剝
博 博
拍 拍
柏 柏
泊 泊
白 白
箔 箔
粕 粕
舶 舶
薄 薄
迫 迫
曝 曝
漠 漠
爆 爆
縛 縛
莫 莫
駁 駁
麦 麥
函 函
箱 箱
硲 硲
箸 箸
肇 肇
筈 筈
櫨 櫨
幡 幡
肌 肌
畑 畑
